taxable income,n_people,taxable_income_millions,tax_assessed_millions,taxable_income_per_person,after_tax_income_millions,after_tax_income_per_person,cumulative_people,cumulative_proportion
"$148,001 - $149,000",2060,305.9,82.2,148495.145631068,223.7,108592.233009709,3747120,0.970711210358066
"$149,001 - $150,000",2410,360.6,97.1,149626.556016598,263.5,109336.099585062,3749530,0.971335533576154
"$150,001 - $151,000",1530,230.2,62.1,150457.516339869,168.1,109869.281045752,3751060,0.971731888150294
"$151,001 - $152,000",1880,284.9,77,151542.553191489,207.9,110585.106382979,3752940,0.972218912071458
"$152,001 - $153,000",1970,300.4,81.2,152487.30964467,219.2,111269.035532995,3754910,0.972729250967571
"$153,001 - $154,000",1410,216.4,58.6,153475.177304965,157.8,111914.893617021,3756320,0.973094518908445
"$154,001 - $155,000",1860,287.3,77.9,154462.365591398,209.4,112580.64516129,3758180,0.973576361724065
"$155,001 - $156,000",1470,228.5,62.1,155442.176870748,166.4,113197.278911565,3759650,0.973957172981571
"$156,001 - $157,000",1360,212.8,57.9,156470.588235294,154.9,113897.058823529,3761010,0.974309488158583
"$157,001 - $158,000",1470,231.5,63.1,157482.993197279,168.4,114557.823129252,3762480,0.974690299416089
"$158,001 - $159,000",1550,245.5,67,158387.096774194,178.5,115161.290322581,3764030,0.975091835095773
"$159,001 - $160,000",1400,223.3,61,159500,162.3,115928.571428571,3765430,0.975454512483874
"$160,001 - $161,000",1260,202.3,55.3,160555.555555556,147,116666.666666667,3766690,0.975780922133165
"$161,001 - $162,000",1510,243.9,66.8,161523.178807947,177.1,117284.768211921,3768200,0.976172095601759
"$162,001 - $163,000",1510,245.4,67.3,162516.556291391,178.1,117947.01986755,3769710,0.976563269070354
"$163,001 - $164,000",1230,201.1,55.2,163495.93495935,145.9,118617.886178862,3770940,0.976881907061329
"$164,001 - $165,000",1220,200.8,55.2,164590.163934426,145.6,119344.262295082,3772160,0.977197954499531
"$165,001 - $166,000",980,162.2,44.6,165510.204081633,117.6,120000,3773140,0.977451828671202
"$166,001 - $167,000",1270,211.5,58.3,166535.433070866,153.2,120629.921259843,3774410,0.977780828873265
"$167,001 - $168,000",1270,212.8,58.7,167559.05511811,154.1,121338.582677165,3775680,0.978109829075328
"$168,001 - $169,000",1170,197.1,54.4,168461.538461538,142.7,121965.811965812,3776850,0.97841292374967
"$169,001 - $170,000",1270,215.2,59.5,169448.818897638,155.7,122598.42519685,3778120,0.978741923951733
"$170,001 - $171,000",1730,295,81.6,170520.231213873,213.4,123352.601156069,3779850,0.979190089581315
"$171,001 - $172,000",720,123.5,34.2,171527.777777778,89.3,124027.777777778,3780570,0.97937660938091
"$172,001 - $173,000",1000,172.5,47.8,172500,124.7,124700,3781570,0.979635664658125
"$173,001 - $174,000",870,150.9,41.9,173448.275862069,109,125287.356321839,3782440,0.979861042749302
"$174,001 - $175,000",1060,185.1,51.5,174622.641509434,133.6,126037.735849057,3783500,0.98013564134315
"$175,001 - $176,000",900,158,44,175555.555555556,114,126666.666666667,3784400,0.980368791092643
"$176,001 - $177,000",830,146.5,40.8,176506.024096386,105.7,127349.397590361,3785230,0.980583806972732
"$177,001 - $178,000",840,149.1,41.6,177500,107.5,127976.19047619,3786070,0.980801413405592
"$178,001 - $179,000",990,176.7,49.3,178484.848484849,127.4,128686.868686869,3787060,0.981057878130035
"$179,001 - $180,000",980,176,49.2,179591.836734694,126.8,129387.755102041,3788040,0.981311752301706
"$180,001 - $181,000",830,149.8,41.9,180481.927710843,107.9,130000,3788870,0.981526768181795
"$181,001 - $182,000",570,103.4,29,181403.50877193,74.4,130526.315789474,3789440,0.981674429689807
