band_ceiling,taxable income,n_people,taxable_income_millions,tax_assessed_millions,taxable_income_per_person,after_tax_income_millions,after_tax_income_per_person,cumulative_people,cumulative_proportion
146000,"$145,001 - $146,000",1770,257.6,68.9,145536.723163842,188.7,106610.169491525,3586330,0.972672215758227
147000,"$146,001 - $147,000",1960,287.2,77,146530.612244898,210.2,107244.897959184,3588290,0.973203800286947
148000,"$147,001 - $148,000",1630,240.5,64.6,147546.012269939,175.9,107914.110429448,3589920,0.973645883338893
149000,"$148,001 - $149,000",1520,225.8,60.7,148552.631578947,165.1,108618.421052632,3591440,0.974058132565248
150000,"$149,001 - $150,000",1980,296.3,79.8,149646.464646465,216.5,109343.434343434,3593420,0.974595141425894
155000,"$150,001 - $155,000",7280,1109.2,299.9,152362.637362637,809.3,111167.582417582,3600700,0.976569598246856
160000,"$155,001 - $160,000",6300,991.5,270,157380.952380952,721.5,114523.80952381,3607000,0.978278262803457
165000,"$160,001 - $165,000",5680,922.4,252.8,162394.366197183,669.6,117887.323943662,3612680,0.979818773070362
170000,"$165,001 - $170,000",5520,925,255.1,167572.463768116,669.9,121358.695652174,3618200,0.98131588868186
175000,"$170,001 - $175,000",4800,828.1,229.7,172520.833333333,598.4,124666.666666667,3623000,0.982617728344033
180000,"$175,001 - $180,000",4500,799,222.8,177555.555555556,576.2,128044.444444444,3627500,0.98383820302732
185000,"$180,001 - $185,000",3470,633.8,177.6,182651.296829971,456.2,131469.740634006,3630970,0.984779324616432
190000,"$185,001 - $190,000",3800,712.2,200.5,187421.052631579,511.7,134657.894736842,3634770,0.985809947682318
195000,"$190,001 - $195,000",2740,527.5,149.2,192518.248175183,378.3,138065.693430657,3637510,0.986553081156142
200000,"$195,001 - $200,000",3130,618.8,175.8,197699.680511182,443,141533.546325879,3640640,0.987401989102517
205000,"$200,001 - $205,000",2860,579.2,165.2,202517.482517483,414,144755.244755245,3643500,0.988177668567895
210000,"$205,001 - $210,000",2580,534.6,153,207209.302325581,381.6,147906.976744186,3646080,0.988877407386313
215000,"$210,001 - $215,000",2590,550.3,158.1,212471.042471042,392.2,151428.571428571,3648670,0.989579858370693
220000,"$215,001 - $220,000",1930,420,121.1,217616.580310881,298.9,154870.466321244,3650600,0.990103306401525
225000,"$220,001 - $225,000",1930,428.9,124,222227.979274611,304.9,157979.274611399,3652530,0.990626754432357
230000,"$225,001 - $230,000",1750,398.8,115.7,227885.714285714,283.1,161771.428571429,3654280,0.991101383475858
235000,"$230,001 - $235,000",1490,346.3,100.8,232416.10738255,245.5,164765.100671141,3655770,0.991505496204324
240000,"$235,001 - $240,000",1660,394.1,115,237409.638554217,279.1,168132.530120482,3657430,0.991955715754158
245000,"$240,001 - $245,000",1700,412.1,120.5,242411.764705882,291.6,171529.411764706,3659130,0.992416783967845
250000,"$245,001 - $250,000",1680,415.9,122,247559.523809524,293.9,174940.476190476,3660810,0.992872427849605
,"Over $250,000",26280,11568.3,3578.9,440194.063926941,7989.4,304010.654490107,3687090,1
